
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_fprintf;_IO_setb;_IO_vfprintf;__fxstat;__libc_malloc;strchrnul;,14
;.plt.got;_IO_doallocbuf;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_fread;_IO_setb;_IO_sgetn;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__underflow;read;,9
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;_IO_un_link;__libc_malloc;cfree;fopen;open;,6
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,3
;.plt;__default_morecore;__libc_malloc;__sbrk;_dl_addr;_dl_find_dso_for_object@plt;brk;,2
;_IO_default_finish;_IO_do_write;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_file_write;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;write;,37
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,12
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;memchr;read;,11
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;read;,30
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;write;,36
;_IO_default_xsputn;_IO_padn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,32
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,5
;_IO_feof;,21
;_IO_fgets;_IO_getline;_IO_getline_info;memchr;,22
;_IO_file_seek;_IO_file_seekoff;_IO_ftell;__lseek;,8
;_IO_file_seek;_IO_file_seekoff;__lseek;rewind;,10
;_IO_file_seekoff;_IO_ftell;,20
;_IO_file_xsputn;_IO_fprintf;_IO_padn;_IO_vfprintf;__printf_fp;strchrnul;strlen;,34
;_IO_file_xsputn;_IO_fprintf;_IO_padn;_IO_vfprintf;strchrnul;,35
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;__printf_fp;strchrnul;strlen;,31
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;,15
;_IO_file_xsputn;_IO_padn;_IO_printf;_IO_vfprintf;__printf_fp;strchrnul;strlen;,29
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;__printf_fp;strchrnul;strlen;,18
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;strchrnul;,17
;_IO_file_xsputn;_IO_puts;strlen;,19
;_IO_file_xsputn;fwrite;,16
;__default_morecore;__sbrk;brk;realloc;,27
;__libc_malloc;,4
;cfree;,7
;cfree;munmap;,28
;fputc;,33
;mmap64;realloc;,25
;mremap;realloc;,26
;realloc;,24
;remove;unlink;,13
;strlen;,0
;strtok;,23
;strtol;,1
;,421
